*wormbook
author	chapter	editor	book	publisher	date	issn	doi	url
Ciche, Todd	The biology and genome of Heterorhabditis bacteriophora	The C. elegans Research Community	WormBook	WormBook	February 20, 2007	1551-8507	10.1895/wormbook.1.135.1	http://www.wormbook.org
Ellis, Ronald//Schedl, Tim	Sex determination in the germ line	The C. elegans Research Community	WormBook	WormBook	March 5, 2007	1551-8507	10.1895/wormbook.1.82.2	http://www.wormbook.org
Page, Antony P.//Johnstone, Iain L.	The cuticle	The C. elegans Research Community	WormBook	WormBook	March 19, 2007	1551-8507	10.1895/wormbook.1.138.1	http://www.wormbook.org
Ashrafi, Kaveh	Obesity and the regulation of fat metabolism	The C. elegans Research Community	WormBook	WormBook	March 9, 2007	1551-8507	10.1895/wormbook.1.130.1	http://www.wormbook.org
McGhee, James D.	The C. elegans intestine	The C. elegans Research Community	WormBook	WormBook	March 27, 2007	1551-8507	10.1895/wormbook.1.133.1	http://www.wormbook.org
Cui, Mingxue//Han, Min	Roles of chromatin factors in C. elegans development	The C. elegans Research Community	WormBook	WormBook	May 3, 2007	1551-8507	10.1895/wormbook.1.139.1	http://www.wormbook.org
Gupta, Bhagwati P.//Johnsen, Robert//Chen, Nansheng	Genomics and biology of the nematode Caenorhabditis briggsae	The C. elegans Research Community	WormBook	WormBook	May 3, 2007	1551-8507	10.1895/wormbook.1.136.1	http://www.wormbook.org
Morgan, P.G.//Kayser, E.-B.//Sedensky, M.M.	C. elegans and volatile anesthetics	The C. elegans Research Community	WormBook	WormBook	May 3, 2007	1551-8507	10.1895/wormbook.1.140.1	http://www.wormbook.org
Viney, Mark E.//Lok, James B.	Strongyloides spp.	The C. elegans Research Community	WormBook	WormBook	May 23, 2007	1551-8507	10.1895/wormbook.1.141.1	http://www.wormbook.org
Hu, Patrick J.	Dauer	The C. elegans Research Community	WormBook	WormBook	August 08, 2007	1551-8507	10.1895/wormbook.1.144.1	http://www.wormbook.org
